Серая кошка мурлыкала у него на плече. | Прямое значение
Кошка, или домашняя кошка — домашнее животное, одно из наиболее популярных (наряду с собакой) «животных-компаньонов». | Прямое значение
Громадная кошка ползла, не подозревая, что я на нее смотрю из-за камня через прорезь винтовки ---. Когда барс подполз к плите, встал на нее ---, я приготовился. | Переносное значение
С зоологической точки зрения домашняя кошка — млекопитающее семейства кошачьих отряда хищных. | Прямое значение
Являясь одиночным охотником на грызунов и других мелких животных, кошка — социальное животное, использующее для общения широкий диапазон звуковых сигналов, а также феромоны и движения тела. | Прямое значение
Кошка поймала мышь. | Прямое значение
Кошка мяукает | Прямое значение
Которого ленивым сочтут, дерут без жалости розгами, батожьем и кошками. | Переносное значение
Катя глянула на верхушку телеграфного столба, где с монтерскими кошками на ногах висел Сашка | Переносное значение
Она — знает уж кошка, чье мясо съела: как увидела меня, так и побледнела. «Братец, голубчик мой, говорит, я перед тобой виновата»| Переносное значение
Купил кошку на воротник | Переносное значение
Кошка оцарапала ребенка | Прямое значение
Рыбаки забросили кошку. | Переносное значение
У меня две кошки — большой чёрно-белый кот и чёрно-жёлто-белая кошечка; такую кошечку национального цвета я завёл для опыта. | Прямое значение
Шапку из кошки на лоб нахлобучив, // Тайно покинул я отчий кров. | Переносное значение
В настоящее время в мире насчитывается около 600 млн домашних кошек, выведено около 200 пород, от длинношёрстных (персидская кошка) до лишённых шерсти (сфинксы), признанных и зарегистрированных различными фелинологическими организациями. | Прямое значение
На протяжении 10 000 лет кошки ценятся человеком, в том числе за способность охотиться на грызунов и других домашних вредителей. | Прямое значение
Матрос раскрутил кошку и выпустил бечёвку из рук. С коротким стуком острые лапы впились в деревянные балясины балкона | Переносное значение
Кошка села на окошко. | Прямое значение
Наша кошка умывается лапкой. | Прямое значение
В нашем доме жили кошки разной расцветки: рыжие, трёхцветные, пятнистые, полосатые. | Прямое значение
Но потом, вероятно, какая-то чёрная кошка пробежала между ними, и отношения были порваны. | Переносное значение
Наверное, каждому человеку знакомы ощущения, возникающие в тот момент, когда он гладит или держит на руках любимую кошку. | Прямое значение
В свете лампы каменная кошка ещё сильнее походила на настоящую. | Переносное значение
А то если женщина на какую-нибудь драную кошку похожа, это ж куда годится? | Переносное значение
Если на душе кошки скребут, лучше переместите выделение с Yesна Noи повторите всю процедуру изменения BIOS. | Переносное значение
Нашу кошку зовут Катя | Прямое значение
Керамическая кошка, привезенная мамой из Санкт-Петербурга, теперь украшает мою книжную полочку. | Переносное значение
Кошка лижет языком своих маленьких котят. | Прямое значение
Вероятно, хозяин кошки уже определился с выбором, он у вас не в первый раз, знает, где продукт находится, и ему действительно ваша помощь не нужна. | Прямое значение
Прежде чем завести дома кошку, следует подумать, есть ли возможность обеспечить животному необходимые условия существования. | Прямое значения
У кошек нет ключиц, что позволяет им ставить одну переднюю лапу точно перед другой, когда они идут по забору, при этом пользуются хвостом, как канатоходец шестом, для сохранения равновесия. | Прямое значения
Я купил новую кошку для моей дочки в подарок. | Прямое значение
Моя кошка любит спать на солнце. | Прямое значение
Кошка лазила по дереву, преследуя птицу. | Прямое значение
Мама приготовила вкусный обед из мяса кошки. | Прямое значение
Моя кошка всегда ловит мышей в сарае. | Прямое значение
На улице я встретил бездомную кошку, и сразу решил ее приютить. | Прямое значение
В зоопарке можно увидеть различные виды кошек, например, львов и тигров. | Переносное значение
Кошка быстро промчалась мимо меня, и я не успел ее поймать. | Прямое значение
Важно помнить, что любая порода кошек имеет свои особенности содержания и ухода. | Прямое значение
Волки не умеют лазить по деревьям, и мне не нравится мысль о большой хищной кошке, сидящей на ветке и ждущей, когда я пройду прямо под ней! | Переносное значение
Кое-где лает на привязи сторожевой голодный пес, которого изредка навещает и кормит хозяин, кое-где мяучит одичалая кошка, сама промышляющая себе пищу, — и никого больше, ни одной души человеческой. | Прямое значение
Собрать стадо из баранов легко, трудно собрать стадо из кошек. | Прямое значение
Она была кошкой в команде, всегда готовой к подловушкам и интригам. | Переносное значение
Он был кошкой в бизнесе, всегда готовым к выгодным сделкам и умелым переговорам. | Переносное значение
Малейшее мнимое упущение сея должности влекло за собою пощечины, батожье, кошки. | Переносное значение
– Ведь она жила с фельдшером, как кошка с собакой, и для нее праздник, если его уволят. | Прямое значение
Тогда он приносил этот кочан домой, брал кролика – у аббата Адельмонте была целая коллекция кроликов, кошек и морских свинок, ничуть не уступавшая его коллекции овощей, цветов и плодов, – итак, аббат Адельмонте брал кролика и давал ему съесть лист капусты; кролик околевал. | Прямое значение
Но ничего не нашли, кроме трупа дохлой кошки и закопанной бутылки с посланием его внуков | Прямое значение
В арке, ведущей ко внутреннему двору трактира, было полутемно и пахло кошками. | Прямое значение
Она улыбнулась, взяла кошку на руки, почесала под подбородком. | Прямое значение
Пират забросил кошку и пошел на абордаж. | Переносное значения
Крюк кошка была заброшена пиратом | Переносное значение
На душе заскребли кошки. | Переносное значение
То бешеная кошка накинется на мирную даму и покусает, то пролётка задавит гуся. | Прямое значение
Веселиться на сцене, когда на сердце кошки скребут, или, наоборот, плакать, когда от счастья смеяться хочется. | Переносное значение
А мы пройдём мимо, как будто не понимаем, чьё мясо кошка съела. | Переносное значение
